customer_id,customer_segment,current_plan,current_plan_cost,call_minutes,sms_count,data_gb,roaming_mins,recommendation_rank,recommended_plan,recommended_cost,potential_savings,savings_percentage
C1,Moderate Users,Plan7,1155.34,1426,333,23.12,93,1,Plan1,676.32,479.01999999999987,41.46138798968268
C1,Moderate Users,Plan7,1155.34,1426,333,23.12,93,2,Plan9,884.2800000000001,271.05999999999983,23.461491855211438
C1,Moderate Users,Plan7,1155.34,1426,333,23.12,93,3,Plan4,1085.0800000000002,70.25999999999976,6.0813267090207015
C2,Low Usage,Plan1,886.06,1370,27,42.78,61,1,Plan1,886.06,0.0,0.0
C2,Low Usage,Plan1,886.06,1370,27,42.78,61,2,Plan7,1060.96,-174.9000000000001,-19.7390695889669
C2,Low Usage,Plan1,886.06,1370,27,42.78,61,3,Plan4,1656.44,-770.3800000000001,-86.94445071439858
C3,Heavy Voice Users,Plan4,944.2400000000001,1589,172,1.31,114,1,Plan1,385.10999999999996,559.1300000000001,59.214818266542416
C3,Heavy Voice Users,Plan4,944.2400000000001,1589,172,1.31,114,2,Plan9,712.12,232.12000000000012,24.58273320342287
C3,Heavy Voice Users,Plan4,944.2400000000001,1589,172,1.31,114,3,Plan5,803.5600000000001,140.68000000000006,14.898754553926974
C4,Heavy Voice Users,Plan3,1852.8400000000001,1097,115,31.22,85,1,Plan1,753.0600000000001,1099.7800000000002,59.356447399667545
C4,Heavy Voice Users,Plan3,1852.8400000000001,1097,115,31.22,85,2,Plan7,904.0899999999999,948.7500000000002,51.20517691759679
C4,Heavy Voice Users,Plan3,1852.8400000000001,1097,115,31.22,85,3,Plan4,1203.2499999999998,649.5900000000004,35.05915243626003
C5,Heavy Voice Users,Plan9,835.7,1916,177,1.83,121,1,Plan1,404.83000000000004,430.87,51.55797535000598
C5,Heavy Voice Users,Plan9,835.7,1916,177,1.83,121,2,Plan9,835.7,0.0,0.0
C5,Heavy Voice Users,Plan9,835.7,1916,177,1.83,121,3,Plan8,882.92,-47.219999999999914,-5.650352997487126
C6,Data-Heavy Users,Plan1,889.65,1728,375,40.01,40,1,Plan1,889.65,0.0,0.0
C6,Data-Heavy Users,Plan1,889.65,1728,375,40.01,40,2,Plan7,1339.9300000000003,-450.2800000000003,-50.61316247962686
C6,Data-Heavy Users,Plan1,889.65,1728,375,40.01,40,3,Plan4,1768.8700000000001,-879.2200000000001,-98.82762884280338
C7,Low Usage,Plan7,585.31,214,37,20.39,137,1,Plan10,478.6,106.70999999999992,18.23136457603662
C7,Low Usage,Plan7,585.31,214,37,20.39,137,2,Plan2,497.16,88.14999999999992,15.060395346055925
C7,Low Usage,Plan7,585.31,214,37,20.39,137,3,Plan9,579.72,5.589999999999918,0.9550494609693869
C8,Low Usage,Plan7,608.62,302,142,48.86,174,1,Plan7,608.62,0.0,0.0
C8,Low Usage,Plan7,608.62,302,142,48.86,174,2,Plan1,1046.46,-437.84000000000003,-71.93979823206598
C8,Low Usage,Plan7,608.62,302,142,48.86,174,3,Plan10,1642.9799999999998,-1034.3599999999997,-169.95169399625377
