customer_id,call_minutes,sms_count,data_gb,roaming_mins,current_plan
C1,1426,333,23.12,93,Plan7
C2,1370,27,42.78,61,Plan1
C3,1589,172,1.31,114,Plan4
C4,1097,115,31.22,85,Plan3
C5,1916,177,1.83,121,Plan9
C6,1728,375,40.01,40,Plan1
C7,214,37,20.39,137,Plan7
C8,302,142,48.86,174,Plan7
C9,1534,309,1.03,278,Plan2
C10,1573,468,44.79,13,Plan9
C11,1395,240,45.18,110,Plan4
C12,261,381,16.76,14,Plan5
C13,695,208,19.01,287,Plan8
C14,1039,12,47.06,289,Plan5
C15,674,97,17.46,106,Plan2
C16,1197,143,18.95,185,Plan9
C17,960,87,20.6,68,Plan6
C18,1138,98,27.28,34,Plan5
C19,192,414,18.61,276,Plan4
C20,1545,390,5.83,82,Plan1
C21,1070,54,18.43,5,Plan6
C22,161,53,37.84,176,Plan1
C23,568,166,10.21,170,Plan1
C24,1401,76,28.97,114,Plan5
C25,284,368,46.73,166,Plan6
C26,1723,337,39.53,52,Plan3
C27,1229,413,39.76,178,Plan9
C28,1445,139,1.16,51,Plan10
C29,130,85,34.39,214,Plan5
C30,919,219,5.89,258,Plan6
C31,116,449,40.54,278,Plan9
C32,1403,210,18.88,141,Plan8
C33,1204,304,36.66,241,Plan1
C34,1858,34,24.86,78,Plan9
C35,1028,372,7.96,163,Plan2
C36,1364,124,7.04,85,Plan3
C37,1807,200,23.58,34,Plan1
C38,60,16,31.08,174,Plan8
C39,395,252,4.8,202,Plan3
C40,601,36,43.35,91,Plan5
C41,595,155,15.16,9,Plan2
C42,1404,54,29.96,219,Plan8
C43,239,290,20.45,129,Plan7
C44,124,137,15.6,145,Plan10
C45,1061,160,37.81,209,Plan1
C46,549,476,34.25,15,Plan8
C47,1715,317,44.36,207,Plan9
C48,952,483,14.64,63,Plan3
C49,816,470,48.28,66,Plan8
C50,104,214,7.49,65,Plan5
C51,688,239,12.85,170,Plan1
C52,449,78,13.66,80,Plan9
C53,1764,214,8.38,182,Plan1
C54,489,197,43.37,18,Plan9
C55,1551,297,29.12,191,Plan1
C56,1795,492,23.79,104,Plan4
C57,1016,239,27.48,246,Plan5
C58,651,253,44.19,285,Plan5
C59,1157,420,15.43,284,Plan2
C60,1388,148,48.34,188,Plan8
C61,1732,126,26.23,134,Plan10
C62,888,248,3.06,168,Plan1
C63,920,437,30.29,125,Plan2
C64,1597,221,9.07,191,Plan10
C65,1597,171,22.55,89,Plan7
C66,185,180,21.46,183,Plan5
C67,1648,56,12.56,175,Plan3
C68,1981,203,44.16,50,Plan1
C69,1856,291,42.01,106,Plan1
C70,1822,190,6.13,91,Plan9
C71,1978,282,20.37,210,Plan3
C72,1099,292,16.42,71,Plan8
C73,57,441,17.75,286,Plan4
C74,1602,272,42.65,251,Plan10
C75,98,302,29.75,255,Plan10
C76,1293,306,12.13,166,Plan8
C77,499,275,1.47,94,Plan2
C78,1238,52,36.92,38,Plan4
C79,1638,496,28.11,94,Plan6
C80,303,52,6.82,248,Plan3
C81,464,124,23.13,111,Plan10
C82,962,82,15.81,163,Plan2
C83,928,473,2.64,11,Plan10
C84,964,199,38.0,264,Plan10
C85,316,204,41.57,179,Plan4
C86,1902,298,24.14,203,Plan1
C87,1617,495,32.03,229,Plan4
C88,1666,124,21.9,127,Plan5
C89,1834,390,15.74,117,Plan10
C90,521,141,27.19,275,Plan5
C91,1433,138,46.56,266,Plan5
C92,878,223,17.34,223,Plan3
C93,707,275,8.99,280,Plan6
C94,152,186,29.32,168,Plan7
C95,1484,56,48.49,91,Plan9
